Season,Age_adv,Tm_adv,Lg_adv,Pos_adv,G_adv,MP_adv,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Player,RSorPO_adv,Age_pg,Tm_pg,Lg_pg,Pos_pg,G_pg,GS,MP_pg,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,RSorPO_pg
2003-04,19,CLE,NBA,SG,79,3122,18.3,0.488,0.145,0.308,3.5,11.8,7.6,27.8,2.2,1.3,13.9,28.2,2.4,2.6,5.1,0.078,2.2,-0.2,1.9,3.1,Lebron James,Regular Season,19,CLE,NBA,SG,79,79,39.5,7.9,18.9,0.42,0.8,2.7,0.3,7.1,16.1,0.438,0.438,4.4,5.8,0.76,1.3,4.2,5.5,5.9,1.6,0.7,3.5,1.9,20.9,Regular Season
2004-05,20,CLE,NBA,SF,80,3388,25.7,0.554,0.183,0.378,3.8,17.0,10.2,32.9,2.8,1.1,11.8,29.7,9.7,4.6,14.3,0.203,6.9,1.5,8.3,8.8,Lebron James,Regular Season,20,CLE,NBA,SF,80,80,42.4,9.9,21.1,0.47,1.4,3.9,0.36,8.6,17.2,0.499,0.504,6.0,8.0,0.75,1.4,6.0,7.4,7.2,2.2,0.7,3.3,1.8,27.2,Regular Season
2005-06,21,CLE,NBA,SF,79,3361,28.1,0.568,0.208,0.447,2.6,17.1,9.8,32.8,2.0,1.5,10.7,33.6,12.0,4.3,16.3,0.232,7.9,1.4,9.3,9.5,Lebron James,Regular Season,21,CLE,NBA,SF,79,79,42.5,11.1,23.1,0.48,1.6,4.8,0.33,9.5,18.3,0.518,0.515,7.6,10.3,0.74,0.9,6.1,7.0,6.6,1.6,0.8,3.3,2.3,31.4,Regular Season
2005-06,21,CLE,NBA,SF,79,3361,28.1,0.568,0.208,0.447,2.6,17.1,9.8,32.8,2.0,1.5,10.7,33.6,12.0,4.3,16.3,0.232,7.9,1.4,9.3,9.5,Lebron James,Regular Season,21,CLE,NBA,SF,13,13,46.5,11.2,23.6,0.47,1.6,4.8,0.33,9.6,18.8,0.512,0.51,6.7,9.1,0.74,1.7,6.4,8.1,5.8,1.4,0.7,5.0,3.4,30.8,Playoffs
2005-06,21,CLE,NBA,SF,13,604,23.2,0.557,0.205,0.384,4.4,16.2,10.3,28.1,1.7,1.3,15.3,33.5,1.0,0.7,1.7,0.135,5.2,2.1,7.3,1.4,Lebron James,Playoffs,21,CLE,NBA,SF,79,79,42.5,11.1,23.1,0.48,1.6,4.8,0.33,9.5,18.3,0.518,0.515,7.6,10.3,0.74,0.9,6.1,7.0,6.6,1.6,0.8,3.3,2.3,31.4,Regular Season
2005-06,21,CLE,NBA,SF,13,604,23.2,0.557,0.205,0.384,4.4,16.2,10.3,28.1,1.7,1.3,15.3,33.5,1.0,0.7,1.7,0.135,5.2,2.1,7.3,1.4,Lebron James,Playoffs,21,CLE,NBA,SF,13,13,46.5,11.2,23.6,0.47,1.6,4.8,0.33,9.6,18.8,0.512,0.51,6.7,9.1,0.74,1.7,6.4,8.1,5.8,1.4,0.7,5.0,3.4,30.8,Playoffs
2006-07,22,CLE,NBA,SF,78,3190,24.5,0.552,0.191,0.432,3.0,16.6,9.6,29.1,2.1,1.3,11.5,31.0,8.0,5.7,13.7,0.206,5.4,2.0,7.4,7.6,Lebron James,Regular Season,22,CLE,NBA,SF,78,78,40.9,9.9,20.8,0.48,1.3,4.0,0.32,8.6,16.8,0.513,0.507,6.3,9.0,0.7,1.1,5.7,6.7,6.0,1.6,0.7,3.2,2.2,27.3,Regular Season
2006-07,22,CLE,NBA,SF,78,3190,24.5,0.552,0.191,0.432,3.0,16.6,9.6,29.1,2.1,1.3,11.5,31.0,8.0,5.7,13.7,0.206,5.4,2.0,7.4,7.6,Lebron James,Regular Season,22,CLE,NBA,SF,20,20,44.7,8.3,20.0,0.42,1.1,3.8,0.29,7.3,16.2,0.448,0.442,7.4,9.8,0.76,1.3,6.8,8.1,8.0,1.7,0.5,3.3,2.0,25.1,Playoffs
2006-07,22,CLE,NBA,SF,20,893,23.9,0.516,0.188,0.491,3.4,17.9,10.6,37.4,2.1,1.0,12.0,29.7,2.1,1.6,3.7,0.2,6.3,2.2,8.5,2.4,Lebron James,Playoffs,22,CLE,NBA,SF,78,78,40.9,9.9,20.8,0.48,1.3,4.0,0.32,8.6,16.8,0.513,0.507,6.3,9.0,0.7,1.1,5.7,6.7,6.0,1.6,0.7,3.2,2.2,27.3,Regular Season
2006-07,22,CLE,NBA,SF,20,893,23.9,0.516,0.188,0.491,3.4,17.9,10.6,37.4,2.1,1.0,12.0,29.7,2.1,1.6,3.7,0.2,6.3,2.2,8.5,2.4,Lebron James,Playoffs,22,CLE,NBA,SF,20,20,44.7,8.3,20.0,0.42,1.1,3.8,0.29,7.3,16.2,0.448,0.442,7.4,9.8,0.76,1.3,6.8,8.1,8.0,1.7,0.5,3.3,2.0,25.1,Playoffs
2007-08,23,CLE,NBA,SF,75,3027,29.1,0.568,0.219,0.47,4.9,17.8,11.1,37.3,2.4,2.1,11.4,33.5,10.7,4.6,15.2,0.242,9.0,2.3,11.2,10.1,Lebron James,Regular Season,23,CLE,NBA,SF,75,74,40.4,10.6,21.9,0.48,1.5,4.8,0.31,9.1,17.1,0.531,0.518,7.3,10.3,0.71,1.8,6.1,7.9,7.2,1.8,1.1,3.4,2.2,30.0,Regular Season
2007-08,23,CLE,NBA,SF,75,3027,29.1,0.568,0.219,0.47,4.9,17.8,11.1,37.3,2.4,2.1,11.4,33.5,10.7,4.6,15.2,0.242,9.0,2.3,11.2,10.1,Lebron James,Regular Season,23,CLE,NBA,SF,13,13,42.5,8.7,21.2,0.41,1.4,5.4,0.26,7.3,15.8,0.463,0.444,9.4,12.8,0.73,1.2,6.6,7.8,7.6,1.8,1.3,4.2,2.5,28.2,Playoffs
2007-08,23,CLE,NBA,SF,13,552,24.3,0.525,0.255,0.607,3.4,19.3,11.2,40.5,2.3,2.6,13.4,34.7,1.0,1.2,2.2,0.187,7.0,4.3,11.3,1.9,Lebron James,Playoffs,23,CLE,NBA,SF,75,74,40.4,10.6,21.9,0.48,1.5,4.8,0.31,9.1,17.1,0.531,0.518,7.3,10.3,0.71,1.8,6.1,7.9,7.2,1.8,1.1,3.4,2.2,30.0,Regular Season
2007-08,23,CLE,NBA,SF,13,552,24.3,0.525,0.255,0.607,3.4,19.3,11.2,40.5,2.3,2.6,13.4,34.7,1.0,1.2,2.2,0.187,7.0,4.3,11.3,1.9,Lebron James,Playoffs,23,CLE,NBA,SF,13,13,42.5,8.7,21.2,0.41,1.4,5.4,0.26,7.3,15.8,0.463,0.444,9.4,12.8,0.73,1.2,6.6,7.8,7.6,1.8,1.3,4.2,2.5,28.2,Playoffs
2008-09,24,CLE,NBA,SF,81,3054,31.7,0.591,0.238,0.472,4.3,19.0,11.9,38.0,2.4,2.4,11.0,33.8,13.7,6.5,20.3,0.318,9.4,3.6,13.0,11.6,Lebron James,Regular Season,24,CLE,NBA,SF,81,81,37.7,9.7,19.9,0.49,1.6,4.7,0.34,8.1,15.2,0.535,0.53,7.3,9.4,0.78,1.3,6.3,7.6,7.2,1.7,1.1,3.0,1.7,28.4,Regular Season
2008-09,24,CLE,NBA,SF,81,3054,31.7,0.591,0.238,0.472,4.3,19.0,11.9,38.0,2.4,2.4,11.0,33.8,13.7,6.5,20.3,0.318,9.4,3.6,13.0,11.6,Lebron James,Regular Season,24,CLE,NBA,SF,14,14,41.4,11.4,22.3,0.51,1.9,5.8,0.33,9.4,16.5,0.571,0.553,10.6,14.2,0.75,1.4,7.8,9.1,7.3,1.6,0.9,2.7,2.1,35.3,Playoffs
2008-09,24,CLE,NBA,SF,14,580,37.4,0.618,0.26,0.638,4.3,23.6,14.2,39.5,2.2,1.8,8.7,36.4,3.7,1.1,4.8,0.399,14.8,3.4,18.2,2.9,Lebron James,Playoffs,24,CLE,NBA,SF,81,81,37.7,9.7,19.9,0.49,1.6,4.7,0.34,8.1,15.2,0.535,0.53,7.3,9.4,0.78,1.3,6.3,7.6,7.2,1.7,1.1,3.0,1.7,28.4,Regular Season
2008-09,24,CLE,NBA,SF,14,580,37.4,0.618,0.26,0.638,4.3,23.6,14.2,39.5,2.2,1.8,8.7,36.4,3.7,1.1,4.8,0.399,14.8,3.4,18.2,2.9,Lebron James,Playoffs,24,CLE,NBA,SF,14,14,41.4,11.4,22.3,0.51,1.9,5.8,0.33,9.4,16.5,0.571,0.553,10.6,14.2,0.75,1.4,7.8,9.1,7.3,1.6,0.9,2.7,2.1,35.3,Playoffs
