show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s767,Movie,Alan Saldaña: Locked Up,Alex Díaz,['Alan Saldaña'],Mexico,"June 3, 2021",2021,TV-MA,49 min,['comedy'],"Mexican comedian Alan Saldaña is back, poking gentle fun at himself and parceling advice, especially about how to stay married and how to be parents."
s1568,Movie,The Panti Sisters,Jun Lana,"['Paolo Ballesteros', 'Martin del Rosario', 'Christian Bables', 'John Arcilla', 'Carmi Martin', 'Rosanna Roces', 'Joross Gamboa', 'Via Antonio', 'Roxanne Barcelo']",Philippines,"December 10, 2020",2019,TV-MA,108 min,"['comedy', 'international', 'lgbtq']",Three gay siblings are told by their terminally ill father that they must each produce a grandchild in order to inherit their share of his fortune.
s3237,TV Show,Once Upon A Time In Lingjian Mountain,,"['Xu Kai', 'Sandrine Pinna', 'Ryan Zhu', 'Gao Yuer', 'Cristy Guo', 'He Wenjun', 'Zheng Yawen', 'Li Junhao', 'Roger Kwok', 'James Wen']",China,"November 23, 2019",2019,TV-14,1 Season,"['international', 'comedy', 'sci-fi', 'fantasy']","As the nine continents face a crisis, a young disciple joins the Spirit Blade sect and comes under the tutelage of a temperamental sage."
s2466,Movie,Intuition,Alejandro Montiel,"['Luisana Lopilato', 'Joaquín Furriel', 'Rafael Ferro', 'Maite Lanata', 'Juan Manuel Guilera', 'Abel Ayala', 'Sebastián Mogordoy', 'Delfina Chaves', 'Marita Ballesteros', 'Miriam Odorico']",Argentina,"May 28, 2020",2020,TV-MA,116 min,"['drama', 'international', 'thriller']","Police officer Pipa works on her first big case while simultaneously investigating her boss, who is suspected of murder. The prequel to ""Perdida""."
s1209,Movie,Çarsi Pazar,Muharrem Gülmez,"['Erdem Yener', 'Ayhan Taş', 'Emin Olcay', 'Muharrem Gülmez', 'Elif Nur Kerkük', 'Tarık Papuççuoğlu', 'Suzan Aksoy', 'Doğa Konakoğlu', 'Esin Eden', 'Deniz Özerman']",Turkey,"March 12, 2021",2015,TV-MA,97 min,"['comedy', 'international']",The slacker owner of a public bath house rallies his community to save it when a big developer comes to town to close it down and open a new mall.
s3772,Movie,The Black Godfather,Reginald Hudlin,"['Clarence Avant', 'Quincy Jones']",United States,"June 7, 2019",2019,TV-MA,118 min,"['documentary', 'music']","This documentary follows the life of Clarence Avant, the ultimate, uncensored mentor and behind-the-scenes rainmaker in music, film, TV and politics."
s8109,Movie,Stronger Than the World,Afonso Poyart,"['José Loreto', 'Cleo Pires', 'Milhem Cortaz', 'Jackson Antunes', 'Claudia Ohana', 'Rômulo Arantes Neto', 'Paloma Bernardi', 'Thaila Ayala', 'Rafinha Bastos', 'Felipe Titto']",Brazil,"February 11, 2017",2016,NR,123 min,"['action', 'adventure', 'drama', 'international']","After a tough upbringing, natural-born fighter José Aldo confronts his personal demons in his quest to become an MMA champion in this sports biopic."
s6484,TV Show,Chuck Chicken,,,Malaysia,"November 15, 2017",2017,TV-Y7,1 Season,['family'],"On the island of Rocky Perch, security company owner Chuck Adoodledoo and his friends provide kung fu-style protection for their fellow bird citizens."
s3164,Movie,Saaho,Sujeeth,"['Prabhas', 'Shraddha Kapoor', 'Jackie Shroff', 'Chunky Pandey', 'Neil Nitin Mukesh', 'Arun Vijay', 'Vennela Kishore', 'Murli Sharma', 'Lal', 'Prakash Belawadi', 'Mahesh Manjrekar', 'Tinnu Anand']",India,"December 8, 2019",2019,TV-14,172 min,"['action', 'adventure', 'international']","In a fictional megalopolis, a stunning underworld theft triggers a fierce power struggle among the gangsters, with an enigmatic cop on their trail."
s8318,Movie,The Gathering,Nia Dinata,"['Cut Mini Theo', 'Tora Sudiro', 'Aida Nurmala', 'Surya Saputra', 'Rachel Maryam Sayidina', 'Trey Gondokusumo', 'Lili Harahap', 'Aurora Yahya', 'Wilza Lubis', 'Nico Siahaan']",Indonesia,"December 8, 2018",2003,TV-14,124 min,"['comedy', 'drama', 'international']","Between divorce, bad relationships and coming out as gay, a group of affluent friends realize that none of their lives are as easy as they seem."
s4031,TV Show,Disappearance,,"['Nelly Karim', 'Mohamed Mamdouh', 'Hesham Selim']",Egypt,"March 8, 2019",2018,TV-MA,1 Season,"['international', 'drama', 'mystery']","A university lecturer in Russia returns to Egypt after her husband's sudden disappearance, uncovering further mysteries the more she investigates."
s2704,Movie,Mine 9,Eddie Mensore,"['Terry Serpico', 'Kevin Sizemore', 'Mark Ashworth', 'Clint James', 'Drew Starkey', 'Erin Elizabeth Burns']",United States,"April 6, 2020",2019,TV-MA,83 min,"['drama', 'independent']",A methane explosion leaves a group of miners trapped two miles deep into the earth with a small oxygen supply and desperate for any means of survival.
s3182,Movie,The Irishman: In Conversation,,"['Martin Scorsese', 'Robert De Niro', 'Al Pacino', 'Joe Pesci']",United States,"December 5, 2019",2019,TV-MA,24 min,['documentary'],"Join director Martin Scorsese as he sits down with stars Robert De Niro, Al Pacino and Joe Pesci for an intimate, intriguing look inside ""The Irishman."""
s6269,Movie,Because of Soccer,"Agasyah Karim, Khalid Kashogi","['Herjunot Ali', 'Winky Wiryawan', 'Erly Ashy', 'Laura Basuki', 'Tarzan', 'Aida Nurmala', 'Otto Djauhari', 'Indra Herlambang']",Indonesia,"December 8, 2018",2008,TV-14,75 min,"['comedy', 'drama', 'international']","After losing a World Cup bet, two hapless buddies must use their wits to pay off their debt to a big Jakarta bookie in this action-packed comedy."
s2896,Movie,System Crasher,Nora Fingscheidt,"['Helena Zengel', 'Albrecht Schuch', 'Gabriela Maria Schmeide', 'Lisa Hagmeister', 'Melanie Straub', 'Victoria Trauttmansdorff', 'Maryam Zaree', 'Tedros Teclebrhan']",Germany,"February 21, 2020",2020,TV-MA,120 min,"['drama', 'independent', 'international']","Traumatized, violent and yearning for love, 9-year-old Benni bonds with a gruff mentor as child-services workers struggle to find her a home."
s2204,TV Show,Shameless (U.S.),,"['William H. Macy', 'Emmy Rossum', 'Justin Chatwin', 'Cameron Monaghan', 'Jeremy Allen White', 'Shanola Hampton', 'Steve Howey', 'Ethan Cutkosky', 'Emma Kenney', 'Laura Wiggins', 'Joan Cusack']",United States,"July 26, 2020",2019,TV-MA,10 Seasons,"['comedy', 'drama']",This dramedy based on a British series centers on siblings in a dysfunctional Chicago family who struggle while coping with their alcoholic father.
s8531,Movie,The Tigers of Scotland,Leanne Gater,['Iain Glen'],United Kingdom,"November 1, 2018",2017,TV-G,58 min,['documentary'],"This documentary highlights the endangered existence of the Scottish wildcats, and the conservation efforts required to prevent their extinction."
s1152,Movie,Octonauts & the Ring of Fire,Blair Simmons,"['Simon Greenall', 'Rob Rackstraw', 'Jo Wyatt', 'Paul Buckley', 'Simon Foster', 'Teresa Gallagher', 'Richard Grieve', 'Michael Murphy', 'Paul Panting', 'Keith Wickham']","China, United Kingdom","March 30, 2021",2021,TV-Y,73 min,['family'],"When red-hot volcanoes start a chain reaction of disasters across the ocean, the Octonauts must work together to face their biggest challenge yet."
